payments,purchases,credit_limit,minimum_payments,oneoff_purchases,balance,cash_advance,cash_advance_trx,purchases_trx,installments_purchases
201.802084,95.4,1000.0,139.509787,0.0,40.900749,0.0,0,2,95.4
4103.032597,0.0,7000.0,1072.340217,0.0,3202.467416,6442.945483,4,0,0.0
622.066742,773.17,7500.0,627.284787,773.17,2495.148862,0.0,0,12,0.0
678.334763,16.0,1200.0,244.791237,16.0,817.714335,0.0,0,1,0.0
1400.05777,1333.28,1800.0,2407.246035,0.0,1809.828751,0.0,0,8,1333.28
6354.314328,7091.01,13500.0,198.065894,6402.63,627.260806,0.0,0,64,688.38
679.065082,436.2,2300.0,532.03399,0.0,1823.652743,0.0,0,12,436.2
1164.770591,1281.6,11000.0,100.302262,1281.6,152.225975,0.0,0,3,0.0
1083.301007,920.12,1200.0,2172.697765,0.0,1293.124939,0.0,0,12,920.12
705.618627,1492.18,2000.0,155.549069,1492.18,630.794744,0.0,0,6,0.0
608.263689,3217.99,3000.0,490.207013,2500.23,1516.92862,0.0,0,26,717.76
1655.891435,2137.93,7500.0,251.137986,419.96,921.693369,0.0,0,26,1717.97
805.647974,0.0,3000.0,989.962866,0.0,2772.772734,346.81139,1,0,0.0
1993.439277,1611.7,8000.0,2109.90649,0.0,6886.213231,2301.491267,4,11,1611.7
391.974562,0.0,3000.0,376.579631,0.0,2072.074354,2784.274703,3,0,0.0
254.590662,519.0,2500.0,73.203221,0.0,41.089489,0.0,0,8,519.0
1720.837373,504.35,13000.0,744.613395,166.0,1989.072228,0.0,0,9,338.35
1053.980464,398.64,4000.0,12465.54938,0.0,3577.970933,0.0,0,12,398.64
223.0686,176.68,2000.0,13557.29726,0.0,2016.684686,0.0,0,8,176.68
2077.959051,6359.95,11250.0,1659.775075,5910.04,6369.531318,229.028245,6,92,449.91
2359.629958,815.9,1800.0,86.329554,0.0,132.34224,0.0,0,17,815.9
9479.043842,4248.35,9000.0,1425.426525,3454.56,3800.151377,7974.415626,13,13,793.79
1422.726707,0.0,6000.0,1657.002877,0.0,5368.571219,798.949863,4,0,0.0
215.306142,399.6,3000.0,163.005536,0.0,169.781679,0.0,0,12,399.6
890.178845,102.0,1700.0,971.183209,102.0,1615.96724,244.840485,5,2,0.0
207.773715,233.28,1000.0,164.748819,0.0,125.694817,0.0,0,12,233.28
1601.448347,387.05,10500.0,1648.851345,204.55,7152.864372,2236.145259,16,8,182.5
160.767773,100.0,6900.0,159.684442,0.0,22.06349,0.0,0,5,100.0
4230.323491,3038.01,13000.0,3292.01503,1013.2,12136.21996,3183.583301,10,64,2024.81
645.998299,1347.71,6000.0,256.848991,400.0,1162.273324,175.815755,2,45,947.71
1720.118876,324.95,10500.0,2506.745366,324.95,6732.823064,1189.533753,3,3,0.0
423.449696,636.79,1200.0,196.301885,636.79,125.660453,0.0,0,11,0.0
8735.607835,547.28,11000.0,17862.55831,0.0,3517.101616,0.0,0,14,547.28
351.500199,0.0,1800.0,634.569311,0.0,1656.350781,99.264367,1,0,0.0
1636.361601,0.0,9000.0,1986.843608,0.0,7427.076941,8873.375046,11,0,0.0
1617.894416,2380.55,5000.0,1541.141605,1642.17,4047.480828,1697.660901,7,41,738.38
